time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 16:22:49 2026,39.7579296875,142987,23.218756332408425,1007.943972577054,44.2702590998206,0,0,0,0,0,0,144,40,2,0,0,0
Wed Feb 18 16:22:50 2026,39.80265625,143918,23.315006364931396,1007.9577569232242,44.15500670239111,0,0,0,0,0,0,144,40,2,0,0,0
Wed Feb 18 16:22:51 2026,39.8508984375,143103,23.31326824729088,1008.0004448024401,43.798096859268036,0,0,0,0,0,0,144,40,2,0,0,0
Wed Feb 18 16:22:52 2026,39.8755078125,140712,23.397123941523922,1007.992241599962,43.86668220976635,0,0,0,0,0,0,156,40,2,0,0,0
Wed Feb 18 16:22:53 2026,39.890546875,141387,23.513110761716113,1007.9809805092951,43.960834693551824,0,0,0,0,0,0,156,40,2,0,0,0
Wed Feb 18 16:22:54 2026,39.9184765625,141387,23.526224383734924,1007.9638873991053,44.10374954573507,0,0,0,0,0,0,156,40,2,0,0,0
Wed Feb 18 16:22:55 2026,39.95421875,142411,23.364960319360467,1007.9416312260718,44.28983551340789,0,0,0,0,0,0,162,42,4,0,0,0
Wed Feb 18 16:22:57 2026,39.9942578125,143219,23.198722111562326,1007.9317007282353,44.37286641844699,0,0,0,0,0,0,162,42,4,0,0,0
Wed Feb 18 16:22:58 2026,40.0368359375,143335,23.03284021455575,1007.9419509737438,44.28716204932744,0,0,0,0,0,0,162,42,4,0,0,0
Wed Feb 18 16:22:59 2026,40.0801953125,143567,23.01979393693764,1007.9356112061855,44.34017004070529,0,0,0,0,0,0,156,42,6,0,0,0
Wed Feb 18 16:23:00 2026,40.1235546875,144035,22.85957625852646,1007.9346178201009,44.34847595343858,0,0,0,0,0,0,156,42,6,0,0,0
Wed Feb 18 16:23:01 2026,40.172578125,143219,22.781594320943135,1007.9267444816699,44.4143068482576,0,0,0,0,0,0,156,42,6,0,0,0
Wed Feb 18 16:23:02 2026,40.2231640625,143103,22.79632096693041,1007.9267526475337,44.41423857127179,0,0,0,0,0,0,168,46,6,0,0,0
Wed Feb 18 16:23:03 2026,40.263984375,142068,22.87025111753905,1007.9394640598227,44.30795557313809,0,0,0,0,0,0,168,46,6,0,0,0
Wed Feb 18 16:23:04 2026,40.288203125,144035,22.850292793023485,1007.9359295844208,44.337508013836654,0,0,0,0,0,0,168,46,6,0,0,0
Wed Feb 18 16:23:05 2026,40.30578125,143451,22.780796812825997,1007.9216107732107,44.457231255770026,0,0,0,0,0,0,192,54,8,2,0,0
